ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Bike Buyer
22711,Single,Male,30000,0,Partial College,Clerical,No,1,1,Europe,33,Yes
13555,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,1,Europe,37,Yes
,Married,Male,160000,5,Partial College,Professional,No,3,2,Europe,55,No
2,Single,Male,160000,0,Graduate Degree,Management,Yes,2,5,Pacific,47,No
25410,,Female,70000,2,Bachelors,Skilled Manual,No,1,1,North America,38,Yes
4,Married,,120000,2,Bachelors,Management,Yes,3,1,North America,40,No
15756,Single,Female,70000,0,High School,Professional,Yes,2,,Pacific,49,Yes
11085,Single,Female,60000,0,High School,Professional,No,2,1,North America,49,No
17974,,Female,0,,Bachelors,Clerical,Yes,0,10,Europe,38,Yes
21008,Single,Female,20000,1,Partial College,Manual,No,0,1,Europe,46,Yes
28985,Single,Male,50000,0,Bachelors,Management,No,2,2,North America,64,No
11087,Married,Female,70000,2,Partial College,Professional,No,0,11,North America,49,No
20434,Single,,60000,0,Partial College,Skilled Manual,No,2,1,North America,31,Yes
14902,,Female,40000,0,Partial College,Clerical,Yes,1,1,North America,50,Yes
11091,Married,Male,90000,0,Partial College,Professional,Yes,1,1,North America,49,No
11094,Single,Male,70000,0,Partial College,Skilled Manual,No,1,1,Pacific,44,No
18568,Single,Female,50000,2,Bachelors,Skilled Manual,Yes,1,2,North America,39,Yes
16366,Married,Female,40000,0,Partial College,Clerical,Yes,1,1,North America,51,Yes
20768,Single,Male,0,0,Partial College,Clerical,Yes,1,2,North America,48,Yes
11098,,Female,60000,0,Partial College,Skilled Manual,No,1,6,Pacific,45,No
18269,Single,Female,60000,2,Bachelors,Professional,Yes,2,1,Pacific,43,Yes
11102,Single,,80000,5,Bachelors,Professional,Yes,4,12,Pacific,41,No
11113,Married,Male,70000,4,Bachelors,Professional,Yes,2,1,Pacific,44,No
26529,,Female,70000,0,Graduate Degree,Professional,Yes,0,,North America,37,Yes
11114,Single,Female,70000,4,Partial College,Skilled Manual,Yes,2,1,Pacific,44,No
23612,Single,Female,90000,0,Partial College,Professional,No,2,1,Europe,62,Yes
11115,Married,Male,70000,4,Partial College,Skilled Manual,Yes,2,1,Pacific,44,No
11116,Married,Male,70000,4,Partial College,Skilled Manual,Yes,2,9,Pacific,44,No
11118,Single,Male,80000,,Partial College,Skilled Manual,No,1,5,Pacific,49,No
19441,Single,Male,40000,0,Graduate Degree,Clerical,Yes,0,1,Europe,37,Yes
11103,Single,Female,70000,0,Bachelors,Professional,Yes,1,1,Pacific,42,Yes
11104,Married,Male,70000,0,Bachelors,Professional,No,1,1,Pacific,42,Yes
15834,Single,Female,40000,0,Partial College,Skilled Manual,No,1,6,North America,30,Yes
20824,Single,Male,30000,0,Bachelors,Clerical,Yes,0,2,Europe,63,Yes
11119,Single,,30000,0,Partial College,Clerical,No,2,2,Pacific,71,No
11121,Married,Male,70000,4,Partial College,Skilled Manual,Yes,3,1,Pacific,45,No
11122,Married,Male,70000,4,Partial College,Skilled Manual,Yes,3,1,Pacific,46,No
11123,Married,Male,70000,4,Partial College,Skilled Manual,Yes,3,2,Pacific,46,No
11125,Single,Female,70000,0,Partial College,Skilled Manual,Yes,1,2,Pacific,50,No
11127,Married,Female,40000,0,High School,Skilled Manual,Yes,1,1,North America,31,No
21969,Single,Female,70000,0,Bachelors,Professional,No,1,1,Pacific,38,Yes
19869,Married,Female,70000,1,Partial College,Professional,Yes,2,8,North America,58,Yes
16909,Married,Female,90000,0,Bachelors,Management,Yes,2,1,North America,67,Yes
11128,Married,Female,40000,0,High School,Skilled Manual,Yes,1,5,North America,30,No
27744,Married,Male,50000,0,Graduate Degree,Management,Yes,1,1,Pacific,63,Yes
13949,Married,Male,80000,0,Graduate Degree,Professional,Yes,0,1,North America,47,Yes
11130,Married,Female,30000,0,High School,Skilled Manual,Yes,2,5,North America,26,No
14130,Married,Female,20000,0,Bachelors,Clerical,No,0,5,Pacific,27,Yes
27472,Single,,20000,1,Partial High School,Clerical,Yes,2,1,Pacific,58,Yes
11131,Married,Female,30000,0,High School,Skilled Manual,No,2,1,North America,26,No
17600,Single,Male,60000,0,Graduate Degree,Professional,Yes,0,1,North America,39,Yes
28884,Single,Female,170000,3,High School,Professional,No,4,13,Europe,50,No
11137,Married,Female,40000,0,High School,Skilled Manual,Yes,2,1,North America,28,No
